volatility_threshold,bullish_ratio_threshold,strong_bullish_min,bullish_count_min,stop_loss_buffer,avg_score,stocks_count
0.16,0.5,1,4,0.97,0.6711628775580488,79
0.12,0.55,1,3,0.99,0.6710698542785141,79
0.12,0.55,1,3,0.98,0.6710698542785141,79
0.12,0.55,1,3,0.97,0.6710698542785141,79
0.18,0.65,1,4,0.98,0.6707668577796393,79
0.18,0.65,1,4,0.97,0.6707668577796393,79
0.18,0.65,1,4,0.99,0.6707668577796393,79
0.14,0.65,2,3,0.97,0.6697266947470247,79
0.14,0.65,2,3,0.98,0.6697266947470247,79
0.14,0.65,2,3,0.99,0.6697266947470247,79
0.18,0.5,3,3,0.99,0.6692072296877801,79
0.18,0.5,3,3,0.98,0.6692072296877801,79
0.18,0.5,3,3,0.97,0.6692072296877801,79
0.14,0.55,2,3,0.99,0.6691778703036441,79
0.14,0.55,2,3,0.98,0.6691778703036441,79
0.14,0.55,2,3,0.97,0.6691778703036441,79
0.16,0.55,1,4,0.99,0.668896648586009,79
0.16,0.55,1,4,0.97,0.668896648586009,79
0.16,0.55,1,4,0.98,0.668896648586009,79
0.18,0.7,1,4,0.97,0.6677830384907775,79
0.18,0.7,1,4,0.99,0.6677830384907775,79
0.18,0.7,1,4,0.98,0.6677830384907775,79
0.12,0.5,1,3,0.98,0.667214942562789,79
0.12,0.5,1,3,0.97,0.667214942562789,79
0.12,0.5,1,3,0.99,0.667214942562789,79
0.14,0.7,2,3,0.99,0.6666377164170294,79
0.14,0.7,2,3,0.98,0.6666377164170294,79
0.14,0.7,2,3,0.97,0.6666377164170294,79
0.18,0.55,3,3,0.99,0.6666240597343952,79
0.18,0.55,3,3,0.98,0.6666240597343952,79
0.18,0.55,3,3,0.97,0.6666240597343952,79
0.16,0.6,1,4,0.97,0.6661290180683958,79
0.16,0.6,1,4,0.99,0.6661290180683958,79
0.16,0.6,1,4,0.98,0.6661290180683958,79
0.14,0.5,2,3,0.97,0.6654123554926153,79
0.14,0.5,2,3,0.99,0.6654123554926153,79
0.14,0.5,2,3,0.98,0.6654123554926153,79
0.18,0.6,3,3,0.98,0.663914254077507,79
0.18,0.6,3,3,0.99,0.663914254077507,79
0.18,0.6,3,3,0.97,0.663914254077507,79
0.16,0.65,1,4,0.97,0.6632338071122558,79
0.16,0.65,1,4,0.99,0.6632338071122558,79
0.16,0.65,1,4,0.98,0.6632338071122558,79
0.16,0.5,3,3,0.99,0.6615382535363856,79
0.16,0.5,3,3,0.98,0.6615382535363856,79
0.16,0.5,3,3,0.97,0.6615382535363856,79
0.18,0.65,3,3,0.98,0.6610756959882395,79
0.18,0.65,3,3,0.99,0.6610756959882395,79
0.18,0.65,3,3,0.97,0.6610756959882395,79
0.16,0.7,1,4,0.99,0.6602088430396033,79
0.16,0.7,1,4,0.98,0.6602088430396033,79
0.16,0.7,1,4,0.97,0.6602088430396033,79
0.1,0.7,1,3,0.99,0.6600210572405718,79
0.1,0.7,1,3,0.98,0.6600210572405718,79
0.1,0.7,1,3,0.97,0.6600210572405718,79
0.16,0.55,3,3,0.98,0.6592770008667356,79
0.16,0.55,3,3,0.99,0.6592770008667356,79
0.16,0.55,3,3,0.97,0.6592770008667356,79
0.14,0.6,1,4,0.98,0.658639871798463,79
0.14,0.6,1,4,0.97,0.658639871798463,79
0.14,0.6,1,4,0.99,0.658639871798463,79
0.12,0.7,2,3,0.97,0.6585502399947502,79
0.12,0.7,2,3,0.99,0.6585502399947502,79
0.12,0.7,2,3,0.98,0.6585502399947502,79
0.18,0.7,3,3,0.98,0.6581062088504781,79
0.18,0.7,3,3,0.99,0.6581062088504781,79
0.18,0.7,3,3,0.97,0.6581062088504781,79
0.1,0.65,1,3,0.97,0.6570396236675985,79
0.1,0.65,1,3,0.98,0.6570396236675985,79
0.1,0.65,1,3,0.99,0.6570396236675985,79
0.16,0.6,3,3,0.99,0.6565215718620333,79
0.16,0.6,3,3,0.97,0.6565215718620333,79
0.16,0.6,3,3,0.98,0.6565215718620333,79
0.18,0.5,2,4,0.97,0.6563771390610972,79
0.18,0.5,2,4,0.99,0.6563771390610972,79
