sno,TP123,TP12,TP1,TP2,TP3,TP1C,CL1,BY1,TOTAL,WR
1448.HK,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,25.0
1456.HK,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,100.0
1458.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1475.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1477.HK,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,66.67
1478.HK,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1501.HK,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0
1508.HK,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,5.0,0.0
1513.HK,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1515.HK,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
1516.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1521.HK,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0
1571.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1576.HK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
1579.HK,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,60.0
1600.HK,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,66.67
1606.HK,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,33.33
1610.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1611.HK,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,50.0
1618.HK,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,66.67
1635.HK,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,33.33
1640.HK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
1645.HK,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,6.0,50.0
1651.HK,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,50.0
1660.HK,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,100.0
